system,segment,source,target,reference,mqm_score,BLEU,chrF,COMET,char_length,num_tokens,num_types,herdan_c,cluster_id,embedding_cluster
comet_bestmbr,1,"Avalanche at Washington state ski resort kills 1, traps 5",Lawine im Skigebiet des Bundesstaats Washington tötet 1 Person und <v>fängt 5 ein</v>,Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,607.0,20.15807475394783,59.05703907087653,0.7865733504295349,57,10,10,1.0,0,1
refB,1,"Avalanche at Washington state ski resort kills 1, traps 5","Lawine in Skigebiet des Bundesstaates Washington tötet <v>1 Person</v>, verschüttet 5",Lawine in Ski-Resort im Bundesstaat Washington tötet 1 Person und verschüttet 5,450.0,8.097785064266205,66.18313742582805,0.7454049587249756,57,10,10,1.0,0,1
JDExploreAcademy,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte am Samstag durch einen Teil eines Skigebiets im US-Bundesstaat Washington, das für den Zugang zum Backcountry-Skifahren genutzt wurde, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend eingeschlossen wurden.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",593.0,49.76268093540107,70.4399793837742,0.8404707312583923,175,27,26,0.9885490910147501,0,1
Lan-Bridge,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte am Samstag durch einen Teil eines Skigebiets im US-Bundesstaat Washington, das für den Zugang zum <v>Skifahren im Hinterland</v> genutzt wurde, tötete einen 60-jährigen Mann und stellte fünf weitere vorübergehend in Gefangenschaft.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",668.0,19.074070294907216,64.18640434614645,0.7745376229286194,175,27,26,0.9885490910147501,0,1
M2M100_1.2B-B4,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine hat am Samstag einen Teil eines Skigebiets im US-Bundesstaat Washington durchquert, das für den Zugang zum Backcountry-Ski genutzt wurde, wodurch ein 60-jähriger Mann getötet und fünf weitere vorübergehend <v>gefangen genommen</v> wurden.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",1402.0,28.510000192089514,63.81393224413201,0.793782114982605,175,27,26,0.9885490910147501,0,1
Online-A,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte am Samstag durch einen Teil eines Skigebiets im Bundesstaat Washington, <v>in dem der Backcountry-Skisport genutzt wurde</v>, tötete einen 60-jährigen Mann und fing vorübergehend fünf weitere ein.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",732.0,22.109740177549202,58.403421308208955,0.7407408356666565,175,27,26,0.9885490910147501,0,1
Online-B,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte durch einen Teil eines Skigebiets im US-Bundesstaat Washington, das am Samstag als Zugang zum <v>Skifahren im Hinterland</v> diente, tötete einen 60-jährigen Mann und schloss fünf weitere vorübergehend ein.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",526.0,13.88218324456063,61.742116608143206,0.7466961741447449,175,27,26,0.9885490910147501,0,1
Online-G,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte durch einen Teil eines Skigebiets im Bundesstaat Washington, das am Samstag für den Zugang zum <v>Skifahren im Hinterland</v> genutzt wurde, tötete einen 60-jährigen Mann und erfasste vorübergehend fünf weitere.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",814.0,19.278114644988364,63.39356000483319,0.7677820324897766,175,27,26,0.9885490910147501,0,1
Online-W,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine hat am Samstag einen Teil eines Skigebiets im US-Bundesstaat Washington erfasst, das für Skitouren genutzt wird. Dabei wurde ein 60-jähriger Mann getötet und fünf weitere Personen wurden vorübergehend verschüttet.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",461.0,32.68167284073913,63.518556551848526,0.8248263001441956,175,27,26,0.9885490910147501,0,1
Online-Y,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte durch einen Teil eines Skigebiets im Bundesstaat Washington, in dem am Samstag <v>Skifahren im Hinterland</v> möglich war, tötete einen 60-jährigen Mann und schloss vorübergehend fünf weitere ein.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",802.0,16.744957210562305,58.37810361943041,0.6385960578918457,175,27,26,0.9885490910147501,0,1
OpenNMT,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine, die am Samstag durch einen Teil eines Skigebiets im US-Bundesstaat Washington fegte, tötete einen 60-jährigen Mann und erfasste vorübergehend fünf weitere.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",894.0,18.788079165231167,55.03719999242384,0.8082552552223206,175,27,26,0.9885490910147501,0,1
PROMT,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte am Samstag durch einen Teil eines Skigebiets im US-Bundesstaat Washington, das für den Zugang zum <v>Skilaufen im Hinterland</v> genutzt wurde, tötete einen 60-jährigen Mann und fing vorübergehend fünf weitere ab.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",953.0,18.24223568589829,64.19680661604663,0.7585102319717407,175,27,26,0.9885490910147501,0,1
QUARTZ_TuneReranking,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine hat am Samstag Teile eines Skigebiets im US-Bundesstaat Washington erfasst, das zum Skifahren genutzt wird. Dabei wurden ein 60-jähriger Mann getötet und fünf weitere vorübergehend <v>gefangen genommen</v>.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",765.0,27.60413413155193,56.849095420916015,0.7761432528495789,175,27,26,0.9885490910147501,0,1
bleu_bestmbr,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte durch einen Teil eines Skigebiets im US-Bundesstaat Washington, das am Samstag als Zugang zum <v>Skifahren im Hinterland</v> genutzt wurde, tötete einen 60-jährigen Mann und schloss fünf weitere vorübergehend ein.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",550.0,13.55531460278718,62.82418469674005,0.7423482537269592,175,27,26,0.9885490910147501,0,1
bleurt_bestmbr,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine fegte durch einen Teil des Skigebiets des US-Bundesstaats Washington, das am Samstag für <v>Skitouren im Hinterland</v> genutzt wurde, tötete dabei einen 60-jährigen Mann und hielt fünf weitere vorübergehend gefangen.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",614.0,10.155170980802295,57.24298418703335,0.7896282076835632,175,27,26,0.9885490910147501,0,1
comet_bestmbr,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Eine Lawine durchbrach einen Teil eines Skigebiets im US-Bundesstaat Washington, das am Samstag zum Skifahren im <v>Hinterland</v> genutzt wurde, tötete einen 60-jährigen Mann und hielt fünf weitere Personen vorübergehend fest.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",661.0,8.996813764071028,58.16777409513186,0.7718595862388611,175,27,26,0.9885490910147501,0,1
refB,2,"An avalanche swept through part of a Washington state ski resort used to access backcountry skiing on Saturday, killing a 60-year-old man and temporarily trapping five others.","Am Samstag fegte eine Lawine durch einen Teil eines Skigebiets des Bundesstaats Washington, das als Basis für Bergskifahrer genutzt wird und tötete dabei <v>eine 60-jährigen Mann</v> und verschüttete fünf weitere vorübergehend.","Eine Lawine rauschte am Samstag durch einen Teil eines Ski-Resorts im Bundesstaat Washington, das Zugang zu Langlauf im Hinterland bietet, wobei ein 60-jähriger Mann getötet und fünf weitere vorübergehend verschüttet wurden.",542.0,11.929171672601013,56.419892262630455,0.7977864146232605,175,27,26,0.9885490910147501,0,1
JDExploreAcademy,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Gebiet Silver Basin von Crystal Mountain gemeldet, das etwa 137 Kilometer südöstlich von Seattle liegt, sagte der Sergeant des Pierce County Sheriff's Department, Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",568.0,31.229044209492084,73.40213129144091,0.8807156682014465,216,34,32,0.982808161164113,3,4
Lan-Bridge,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das sich etwa 85 Meilen (137 Kilometer) südöstlich von Seattle befindet, sagte Sgt. Darren Moss, <v>Sgt</v>.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",763.0,37.64572072850459,68.72141071866075,0.8132433295249939,216,34,32,0.982808161164113,3,4
M2M100_1.2B-B4,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde um 10:50 Uhr in der Silver Basin-Region von Crystal Mountain, die etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, <v>gemeldet Pierce County Sheriff's Department Sgt. Darren Moss</v>.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",1539.0,30.635100924411415,72.9179002550048,0.7268643975257874,216,34,32,0.982808161164113,3,4
Online-A,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",790.0,45.41838782427213,80.39198051283377,0.9037497639656067,216,34,32,0.982808161164113,3,4
Online-B,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said <v>Pierce County Sheriff's Department</v> Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das sich etwa 85 Meilen (137 Kilometer) südöstlich von Seattle befindet, sagte Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",502.0,43.67966439282712,69.33025978433659,0.8874731659889221,223,34,32,0.982808161164113,3,4
Online-G,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",765.0,45.41838782427213,80.39198051283377,0.9037497639656067,216,34,32,0.982808161164113,3,4
Online-W,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",484.0,45.41838782427213,80.39198051283377,0.9037498235702515,216,34,32,0.982808161164113,3,4
Online-Y,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin Gebiet von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte <v>Pierce County Sheriff's Department Sgt.</v> Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",755.0,36.08427942235698,78.66857107198038,0.8600184321403503,216,34,32,0.982808161164113,3,4
OpenNMT,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Gebiet Silver Basin von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte der Sheriff von Pierce County, Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",997.0,48.622530685106696,77.53650653136805,0.9087883234024048,216,34,32,0.982808161164113,3,4
PROMT,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silberbecken von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",990.0,45.06830644860983,75.28292820877044,0.8871028423309326,216,34,32,0.982808161164113,3,4
QUARTZ_TuneReranking,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine sei gegen 10.50 Uhr im Gebiet Silver Basin in Crystal Mountain gemeldet worden, das etwa 137 Kilometer südöstlich von Seattle liegt, sagte der Sheriff des Bezirks Pierce County, Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",783.0,25.398215677691883,65.78405531175913,0.8806218504905701,216,34,32,0.982808161164113,3,4
bleu_bestmbr,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte Sgt. Darren Moss, Sheriff Department von Pierce County.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",554.0,43.47172946578884,78.83378240573532,0.89570552110672,216,34,32,0.982808161164113,3,4
bleurt_bestmbr,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Silver Basin-Gebiet von Crystal Mountain gemeldet, das etwa 85 Meilen (137 Kilometer) südöstlich von Seattle liegt, sagte Sgt. Darren Moss vom Pierce County Sheriff's Department.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",515.0,60.0540391453636,85.83465119507704,0.9130739569664001,216,34,32,0.982808161164113,3,4
comet_bestmbr,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen 10:50 Uhr im Gebiet Silver Basin von Crystal Mountain gemeldet, das etwa 137 Kilometer südöstlich von Seattle liegt, sagte Sgt. Darren Moss.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",632.0,34.11721460360803,64.54604308614333,0.8711603283882141,216,34,32,0.982808161164113,3,4
refB,3,"The avalanche was reported about 10:50 am in the Silver Basin area of Crystal Mountain, which is located about 85 miles (137 kilometers) southeast of Seattle, said Pierce County Sheriff's Department Sgt. Darren Moss.","Die Lawine wurde gegen <v>10.50 Uhr</v> im Bereich Silver Basin des Crystal Mountain gemeldet, der etwa 85 Meilen (137 Kilometer) südöstlich von Seattle gelegen ist, so Sgt. Darren Moss von Abteilung des Polizeichefs von Pierce County.","Die Lawine wurde gegen 10.50 Uhr im Gebiet von Silver Basin von Crystal Mountain gemeldet, ca. 85 Meilen (137 Kilometer) südöstlich von Seattle, so Sgt. Darren Moss vom Pierce County Sheriff‘s Department.",489.0,39.17706430747783,70.29604813886414,0.8405410051345825,216,34,32,0.982808161164113,3,4
JDExploreAcademy,4,"The identity of the man who died hasn't been released, but authorities say he wasn't breathing after being pulled out of the snow and didn't survive despite CPR efforts by another skier.","Die Identität des Mannes, der starb, wurde nicht bekannt gegeben, aber die Behörden sagen, dass er nicht atmete, nachdem er aus dem Schnee gezogen wurde und trotz Herz-Lungen-Wiederbelebung durch einen anderen Skifahrer nicht überlebte.","Die Identität des getöteten Mannes wurde noch nicht bekannt gegeben, aber den Behörden zufolge atmete er nicht mehr, als er unter dem Schnee herausgezogen wurde, und trotz der HLW-Bemühung eines anderen Skifahrers überlebte er nicht.",517.0,17.254269827671674,59.05141521378916,0.8455653190612793,186,32,30,0.9813781191217037,1,3
Lan-Bridge,4,"The identity of the man who died hasn't been released, but authorities say he wasn't breathing after being pulled out of the snow and didn't survive despite CPR efforts by another skier.","Die Identität des Mannes, der starb, wurde nicht veröffentlicht, aber die Behörden sagen, dass er nicht atmete, nachdem er aus dem Schnee gezogen worden war, und trotz KPR-Bemühungen eines anderen Skifahrers nicht überlebte.","Die Identität des getöteten Mannes wurde noch nicht bekannt gegeben, aber den Behörden zufolge atmete er nicht mehr, als er unter dem Schnee herausgezogen wurde, und trotz der HLW-Bemühung eines anderen Skifahrers überlebte er nicht.",719.0,11.247326418309997,54.24596199990391,0.8640322089195251,186,32,30,0.9813781191217037,1,3
M2M100_1.2B-B4,4,"The identity of the man who died hasn't been released, but authorities say he wasn't breathing after being pulled out of the snow and didn't survive despite CPR efforts by another skier.","Die Identität des Mannes, der starb, wurde nicht freigegeben, aber die Behörden sagen, dass er nicht atmete, nachdem er aus dem Schnee gezogen wurde und nicht überlebte, trotz der <v>CPR</v>-Anstrengungen eines anderen Skifahrers.","Die Identität des getöteten Mannes wurde noch nicht bekannt gegeben, aber den Behörden zufolge atmete er nicht mehr, als er unter dem Schnee herausgezogen wurde, und trotz der HLW-Bemühung eines anderen Skifahrers überlebte er nicht.",1283.0,8.24681168469728,54.858267401040436,0.8147081136703491,186,32,30,0.9813781191217037,1,3
